"Return on Shareholder Funds",16.28,32.85,18.75,4.73,6.86,3.8,21.26,14.34,19.18,16.09,19.56,19.29,20.64,12.21,4.07,10.23,26.26,14.61,28.86,21.28,32.71,
"Return on Total Assets",11.37,23.61,8.07,1.43,13.1,16.32,23.67,25.71,28.66,30.25,32.2,17.87,34.09,9.83,38.83,8.02,46.93,10.85,48.02,6.61,20.13,
"Operating Profit Margin",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,46.29,
"Net Profit Margin",94.76,96.23,108.49,252.01,22.33,11.81,42.51,29.73,36.5,28.25,29.81,50.91,29.95,74.31,6.62,80.96,33.62,72.56,36.03,170.24,91.2,
"Interest Cover",2.68,5.48,2.55,0.51,1.28,0.23,3.35,1.92,3.35,2.8,3.76,,5.26,,1.57,,8.8,,10.12,,,
"Dividend Cover",,,,,,,,,6.59,4.98,6.23,6.16,12.21,4.29,1.3,3.78,8.77,4.38,8.92,5.63,12.49,
"NAV%Price",133.95,31.43,29.86,35.88,49.56,72.2,79.9,93.99,91.45,57.62,66.92,94.73,133.25,166.2,111.31,121.54,113.29,141.82,111.55,144.36,173.55,
"Price : Earnings",3.96,8.07,16.31,31.18,32.18,8.9,5.71,5.62,5.6,9.57,7.57,6.24,6.33,156.6,25.38,5.39,5.62,3.53,4.47,4.05,4.23,
"Shareholders Equity : Total Assets",0.66,0.68,0.55,0.61,0.65,0.51,0.47,0.53,0.55,0.53,0.49,0.47,0.49,0.6,0.63,0.63,0.6,0.54,0.6,0.53,0.56,
"SH Equity : Advances and Other Accounts",3.31,3.37,2.55,2.55,2.27,1.53,1.37,1.94,1.85,2.15,1.92,1.75,1.75,2.03,2.68,3.35,3.31,28.59,3.14,22.82,2.38,
"Interest Margin",0.19,0.28,0.06,0.06,0.05,-0.03,0.01,-0.03,,-0.04,-0.03,,-0.02,,-0.02,,,,0.01,,,
"Cost to Income",,0.5,,6.36,,0.43,,,,,,,,,,,,,,,,
"Lendings : Total Assets",0.2,0.2,0.22,0.24,0.29,0.33,0.35,0.27,0.29,0.25,0.26,0.27,0.28,0.29,0.24,0.19,0.18,0.02,0.19,0.02,0.24,
"Interest Received : Interest Paid",5.41,7.54,2.74,3.17,2.55,0.34,1.3,0.04,1.14,0.02,0.06,,0.05,,0.14,,0.81,,1.32,,,
"PEG Ratio",0.15,0.15,0.32,0.37,0.38,0.11,0.07,0.08,0.08,0.11,0.09,0.1,0.1,12.97,2.03,0.13,0.14,0.07,0.09,0.12,0.13,

